"","SampleSize","Method","Activity"
"581",3,"Ratio",11.3658854884661
"582",6,"Ratio",14.8055224660397
"583",10,"Ratio",13.1897785547786
"584",20,"Ratio",12.8068233134961
"585",30,"Ratio",12.0667366496238
"586",3,"Ratio",11.9158249158249
"587",6,"Ratio",16.1583915165917
"588",10,"Ratio",13.6632222222222
"589",20,"Ratio",13.8432529431255
"590",30,"Ratio",13.0240743090759
"591",3,"Ratio",13.0078966926793
"592",6,"Ratio",12.2359192209935
"593",10,"Ratio",12.4660678210678
"594",20,"Ratio",12.5027321153824
"595",30,"Ratio",13.7776364245514
"596",3,"Ratio",11.5068253968254
"597",6,"Ratio",15.5613023142109
"598",10,"Ratio",13.3444238137342
"599",20,"Ratio",14.4701254512721
"600",30,"Ratio",12.3354492383949
"601",3,"Ratio",12.8820512820513
"602",6,"Ratio",11.3303751803752
"603",10,"Ratio",14.3589268943617
"604",20,"Ratio",13.3140399721444
"605",30,"Ratio",12.8630609714091
"606",3,"Ratio",14.7054545454545
"607",6,"Ratio",13.7321428571429
"608",10,"Ratio",14.6148686868687
"609",20,"Ratio",13.6185260033986
"610",30,"Ratio",13.0691894518688
"611",3,"Ratio",15.7317073170732
"612",6,"Ratio",13.701048951049
"613",10,"Ratio",13.5636830501068
"614",20,"Ratio",13.263215846543
"615",30,"Ratio",13.562909210749
"616",3,"Ratio",14.9722959033304
"617",6,"Ratio",14.2935767017769
"618",10,"Ratio",11.12129578307
"619",20,"Ratio",13.9123036024026
"620",30,"Ratio",13.1933452975014
"621",3,"Ratio",15.0639730639731
"622",6,"Ratio",13.3076375731548
"623",10,"Ratio",13.1559238675782
"624",20,"Ratio",12.9318624282694
"625",30,"Ratio",13.9065784332129
"626",3,"Ratio",17.4697318007663
"627",6,"Ratio",11.3026214526215
"628",10,"Ratio",11.2583339671082
"629",20,"Ratio",13.7514814002463
"630",30,"Ratio",11.9117980125234
"631",3,"Ratio",12.4407407407407
"632",6,"Ratio",12.3248436748437
"633",10,"Ratio",15.2718383838384
"634",20,"Ratio",12.5895723242275
"635",30,"Ratio",13.7422209599138
"636",3,"Ratio",11.1859259259259
"637",6,"Ratio",11.8481481481481
"638",10,"Ratio",11.4981667305507
"639",20,"Ratio",14.1148742324642
"640",30,"Ratio",13.3311641836424
"641",3,"Ratio",15.1601710772521
"642",6,"Ratio",10.8768518518519
"643",10,"Ratio",10.8545382395382
"644",20,"Ratio",13.6537978412579
"645",30,"Ratio",14.0083089575726
"646",3,"Ratio",15.8919540229885
"647",6,"Ratio",12.8068181818182
"648",10,"Ratio",13.7253787437226
"649",20,"Ratio",13.3284384207524
"650",30,"Ratio",12.7747177761037
"651",3,"Ratio",11.073544973545
"652",6,"Ratio",12.6445502645503
"653",10,"Ratio",11.2571406371406
"654",20,"Ratio",13.5711808963983
"655",30,"Ratio",13.1063240492902
"656",3,"Ratio",12.8692307692308
"657",6,"Ratio",12.2123904550734
"658",10,"Ratio",13.7771154896237
"659",20,"Ratio",12.8276469198559
"660",30,"Ratio",12.6551893522723
"661",3,"Ratio",14.385330505479
"662",6,"Ratio",13.6948148148148
"663",10,"Ratio",12.1756637806638
"664",20,"Ratio",12.5053554897026
"665",30,"Ratio",13.6557560994924
"666",3,"Ratio",9.57610907610908
"667",6,"Ratio",11.8194444444444
"668",10,"Ratio",13.6737595995736
"669",20,"Ratio",12.472116627334
"670",30,"Ratio",14.3861833734051
"671",3,"Ratio",12.7422911283376
"672",6,"Ratio",14.329692042375
"673",10,"Ratio",14.045339830085
"674",20,"Ratio",12.8305774276112
"675",30,"Ratio",13.8255537892087
"676",3,"Ratio",15.7980676328502
"677",6,"Ratio",11.9440476190476
"678",10,"Ratio",13.9421717171717
"679",20,"Ratio",14.1243739115291
"680",30,"Ratio",13.6343313490656
"681",3,"Ratio",11.9454545454545
"682",6,"Ratio",14.0845292000464
"683",10,"Ratio",12.8627950234048
"684",20,"Ratio",12.0045252933923
"685",30,"Ratio",13.120385699785
"686",3,"Ratio",12.1634920634921
"687",6,"Ratio",13.7631887985547
"688",10,"Ratio",11.3145806673946
"689",20,"Ratio",13.2312931034483
"690",30,"Ratio",12.3069506640919
"691",3,"Ratio",11.254415954416
"692",6,"Ratio",13.6828906955736
"693",10,"Ratio",13.1876478835174
"694",20,"Ratio",13.1956184460169
"695",30,"Ratio",13.5706847670308
"696",3,"Ratio",12.8333333333333
"697",6,"Ratio",12.8411385588215
"698",10,"Ratio",11.0439782439782
"699",20,"Ratio",13.6969951505457
"700",30,"Ratio",12.9446948544407
"701",3,"Ratio",15.7428705002338
"702",6,"Ratio",13.6731078904992
"703",10,"Ratio",12.0158237020432
"704",20,"Ratio",12.3452660439181
"705",30,"Ratio",12.967410143508
"706",3,"Ratio",11.6830318690784
"707",6,"Ratio",12.8015438942268
"708",10,"Ratio",16.1858651026393
"709",20,"Ratio",13.0381880222671
"710",30,"Ratio",13.1896957056767
"711",3,"Ratio",12.1864957264957
"712",6,"Ratio",13.1928774928775
"713",10,"Ratio",14.2526600219704
"714",20,"Ratio",13.0587812285777
"715",30,"Ratio",13.0759031092441
"716",3,"Ratio",13.6111111111111
"717",6,"Ratio",12.1136243386243
"718",10,"Ratio",14.8734409616897
"719",20,"Ratio",12.246697232307
"720",30,"Ratio",13.8002021907501
"721",3,"Ratio",13.1367355727821
"722",6,"Ratio",13.8851250199076
"723",10,"Ratio",12.9156349612447
"724",20,"Ratio",12.8190204369274
"725",30,"Ratio",14.2108677303608
"726",3,"Ratio",10.016058016058
"727",6,"Ratio",13.9749158249158
"728",10,"Ratio",14.4400003483107
"729",20,"Ratio",13.5285741225801
"730",30,"Ratio",12.7504648712595
"731",3,"Ratio",11.7787878787879
"732",6,"Ratio",12.8070378200611
"733",10,"Ratio",12.1897616658462
"734",20,"Ratio",14.4413023291072
"735",30,"Ratio",12.7018149619507
"736",3,"Ratio",12.5277777777778
"737",6,"Ratio",11.4229292929293
