"","SimType","Measure","TxnEff","N","R","A","sd11","sd12","sd21","sd22","Contamination","Ratio","OLS","EIV","REIV"
"101","Noise","Error",0.25,10,50,10,1,1,10,10,0.05,0.169756644213707,0.055162773474854,0.0575036613501224,0.0585026598703297
"102","Noise","Error",0.25,10,50,10,2,2,20,20,0.05,0.410644770392257,0.11122061285435,0.113481848482944,0.117038652399603
"103","Noise","Error",0.25,10,50,10,3,3,30,30,0.05,0.606101257602041,0.158257167816766,0.167073865008356,0.169349151030099
"104","Noise","Error",0.25,10,50,10,4,4,40,40,0.05,1.1244969168719,0.219805975256244,0.243730446213459,0.246712409159599
"105","Noise","Error",0.25,10,50,10,5,5,50,50,0.05,1.05191015785941,0.249658908871206,0.322650734269375,0.332038764346335
"106","Noise","Error",0.25,10,50,10,6,6,60,60,0.05,1.67137295756852,0.304203177783139,0.36351652023901,0.373099714860941
"107","Noise","Error",0.25,10,50,10,7,7,70,70,0.05,1.55547138715715,0.336813404686346,0.426761620740902,0.427108344162711
"108","Noise","Error",0.25,10,50,10,8,8,80,80,0.05,2.31125389706477,0.34969297938884,0.540601272604864,0.553814597661036
"109","Noise","Error",0.25,10,50,10,9,9,90,90,0.05,2.44116631887255,0.405397701351111,0.624824836120244,0.629053384063595
"110","Noise","Error",0.25,10,50,10,10,10,100,100,0.05,2.48823915864461,0.407994666661851,0.67866164598974,0.687675572879581
"111","Noise","Precision",0.25,10,50,10,1,1,10,10,0.05,0.0691439611404737,0.0324776231903525,0.0335851640053614,0.0332942482987197
"112","Noise","Precision",0.25,10,50,10,2,2,20,20,0.05,0.142289013774079,0.0599040845535205,0.0624034983541464,0.0620310111094728
"113","Noise","Precision",0.25,10,50,10,3,3,30,30,0.05,0.220321820852099,0.0800017538841086,0.0961844289362694,0.0949389931953333
"114","Noise","Precision",0.25,10,50,10,4,4,40,40,0.05,0.319288634106934,0.100430939325633,0.129671699484553,0.125370890838709
"115","Noise","Precision",0.25,10,50,10,5,5,50,50,0.05,0.376587896358212,0.130515307820396,0.14981178354207,0.150284412405047
"116","Noise","Precision",0.25,10,50,10,6,6,60,60,0.05,0.443333294324154,0.15428344723886,0.171459558755872,0.169194230190711
"117","Noise","Precision",0.25,10,50,10,7,7,70,70,0.05,0.424289577365553,0.163426506019455,0.219794830585339,0.218370340928298
"118","Noise","Precision",0.25,10,50,10,8,8,80,80,0.05,0.56690204715387,0.181695669725905,0.255068245399311,0.252877112471291
"119","Noise","Precision",0.25,10,50,10,9,9,90,90,0.05,0.671259597610789,0.173367863566461,0.261307998484571,0.257378979833584
"120","Noise","Precision",0.25,10,50,10,10,10,100,100,0.05,0.655719981665382,0.198244760141577,0.281881836828392,0.27271485577604
"121","Contam","Zamar",0.25,30,50,3,3,3,9,9,0.05,0.00332977333830676,0.000232207587992634,0.000569462311614856,0.000157598898671093
"122","Contam","Zamar",0.25,30,50,3,3,6,9,18,0.05,0.00367529295312159,0.000237165081513699,0.000521338288767464,0.000189441390711342
"123","Contam","Zamar",0.25,30,50,3,3,9,9,27,0.05,0.00353760106602426,0.000319287397559217,0.000612870427237949,0.000259638363901224
"124","Contam","Zamar",0.25,30,50,3,3,12,9,36,0.05,0.00347889060857738,0.000456059496249164,0.000637217282894064,0.000248969232428748
"125","Contam","Zamar",0.25,30,50,3,3,15,9,45,0.05,0.00488460809805568,0.000581277558684272,0.000669930412103218,0.00033463854829523
"126","Contam","Zamar",0.25,30,50,3,3,18,9,54,0.05,0.00356030675083086,0.000844235398733659,0.000907176234139158,0.000481969826928365
"127","Contam","Zamar",0.25,30,50,3,3,21,9,63,0.05,0.00398034805374662,0.00100745252720164,0.000945551614353802,0.00045421041047565
