"","SampleSize","Method","Activity"
"393",10,"Ratio",15.0278455284553
"394",20,"Ratio",15.9489877899878
"395",30,"Ratio",15.198714988715
"396",3,"Ratio",11.4814814814815
"397",6,"Ratio",15.1453823953824
"398",10,"Ratio",17.3543604004449
"399",20,"Ratio",17.2151053113553
"400",30,"Ratio",17.3532079485272
"401",3,"Ratio",16.2916666666667
"402",6,"Ratio",15.3445165945166
"403",10,"Ratio",12.9170356744705
"404",20,"Ratio",16.595716638434
"405",30,"Ratio",15.9531112172878
"406",3,"Ratio",15.7602787456446
"407",6,"Ratio",17.8838383838384
"408",10,"Ratio",16.9471666666667
"409",20,"Ratio",18.762755820318
"410",30,"Ratio",15.4802183568001
"411",3,"Ratio",13.6531007751938
"412",6,"Ratio",19.5467592592593
"413",10,"Ratio",18.0381152993348
"414",20,"Ratio",19.2411179024228
"415",30,"Ratio",15.9362887023035
"416",3,"Ratio",17.3833333333333
"417",6,"Ratio",17.6825203252033
"418",10,"Ratio",16.6507575757576
"419",20,"Ratio",17.3960714285714
"420",30,"Ratio",17.8098809688837
"421",3,"Ratio",14.9888888888889
"422",6,"Ratio",16.7938106477839
"423",10,"Ratio",22.3916666666667
"424",20,"Ratio",19.2740288833031
"425",30,"Ratio",15.5890423280423
"426",3,"Ratio",17.4582010582011
"427",6,"Ratio",23.5373737373737
"428",10,"Ratio",13.5823015873016
"429",20,"Ratio",18.2675793650794
"430",30,"Ratio",15.599455136228
"431",3,"Ratio",20.189898989899
"432",6,"Ratio",13.3317871017871
"433",10,"Ratio",15.8142349575489
"434",20,"Ratio",13.6360714285714
"435",30,"Ratio",14.6706419678513
"436",3,"Ratio",21.8611111111111
"437",6,"Ratio",17.5545893719807
"438",10,"Ratio",16.0824492432632
"439",20,"Ratio",16.4321780240832
"440",30,"Ratio",15.4207033401707
"441",3,"Ratio",11.2747474747475
"442",6,"Ratio",14.8166666666667
"443",10,"Ratio",15.2086363636364
"444",20,"Ratio",16.3433295999866
"445",30,"Ratio",16.0494324516406
"446",3,"Ratio",17.5107291315583
"447",6,"Ratio",16.8949735449735
"448",10,"Ratio",14.6427823995927
"449",20,"Ratio",17.4320779220779
"450",30,"Ratio",16.5873436668002
"451",3,"Ratio",12.2825396825397
"452",6,"Ratio",17.2486111111111
"453",10,"Ratio",12.562359055673
"454",20,"Ratio",14.8450171294223
"455",30,"Ratio",17.0091051181868
"456",3,"Ratio",14
"457",6,"Ratio",14.8942113442113
"458",10,"Ratio",19.3336363636364
"459",20,"Ratio",18.1284577922078
"460",30,"Ratio",17.949798949557
"461",3,"Ratio",14.0153846153846
"462",6,"Ratio",13.0227272727273
"463",10,"Ratio",15.7828893587033
"464",20,"Ratio",14.56295899664
"465",30,"Ratio",16.5062180371963
"466",3,"Ratio",14.3055555555556
"467",6,"Ratio",15.5032468209297
